name             R.A.(J2000) Dec  nH20  t_exp  cr_VTP  r_VTP  cr_final cr_err   kT     z     fx(-12)  lx(44)  z_ref
A1758a          203.189    50.548   1.1   591     0.25    4.5     0.28   0.06 	 9.1   0.2792  	  3.6  	11.61  	 (1)
A1814           208.499    14.924   1.7   398     0.23    4.8     0.30   0.08 	 5.0   0.1251  	  4.2  	 2.82  	(24)
A1895           213.551    71.260   2.0   857     0.17    4.2     0.21   0.04 	 7.2   0.2250  	  3.1  	 6.65  	 (8)
RXJ1423.1+2616  215.799    26.276   1.6   392     0.21    4.8     0.25   0.07 	 1.8   0.0375  	  3.2  	 0.19  	 (3)
RXJ1423.9+4015  215.976    40.261   0.9   604     0.24    3.8     0.28   0.06 	 3.2   0.0822  	  3.2  	 0.94  	(12)
A1925           217.135    56.879   1.4   725     0.19    4.4     0.24   0.05 	 3.9   0.1074  	  3.2  	 1.56  	 (7)
A1961           221.094    31.235   1.3   614     0.17    4.2     0.22   0.05 	 7.1   0.2340  	  2.9  	 6.60  	 (6)
A1986           223.292    21.897   2.8   415     0.15    4.1     0.18   0.06 	 4.1   0.1186  	  2.9  	 1.76  	 (4)
Z7215           225.334    42.344   1.5   575     0.20    4.3     0.23   0.06 	 9.0   0.2897  	  3.2  	11.26  	 (7)
A2036           227.778    18.049   2.8   379     0.15    3.7     0.19   0.06 	 4.1   0.1161  	  3.0  	 1.72  	(20)
A2067           230.783    30.845   1.9   399     0.20    5.2     0.24   0.07 	 3.1   0.0756  	  3.5  	 0.86  	(29)
A2073           231.436    28.428   2.6   381     0.19    4.7     0.24   0.07 	 5.6   0.1515  	  3.8  	 3.74  	(19)
A2146           239.040    66.355   2.8  1318     0.23    3.8     0.24   0.04 	 8.1   0.2343  	  3.9  	 8.97  	 (1)
A2141           239.436    35.497   1.9   349     0.21    4.4     0.25   0.07 	 5.7   0.1579  	  3.7  	 3.89  	(15)
A2149           240.399    53.918   1.2  1122     0.28    5.1     0.34   0.05 	 3.0   0.0675  	  4.2  	 0.83  	 (2)
A2148           240.759    25.404   4.5   654     0.19    5.1     0.22   0.05 	 3.7   0.0888  	  4.1  	 1.39  	(16)
A2152           241.384    16.442   3.4   569     0.15    4.0     0.17   0.05 	 1.7   0.0370  	  2.9  	 0.17  	(23)
A2169           243.540    49.153   1.5   542     0.19    5.3     0.24   0.06 	 2.4   0.0579  	  3.1  	 0.45  	(29)
A2187           246.053    41.242   0.9   906     0.26    4.4     0.30   0.05 	 6.5   0.1825  	  3.7  	 5.26  	(23)
A2201           246.748    55.477   1.8   874     0.20    4.1     0.23   0.04 	 4.7   0.1300  	  3.3  	 2.40  	 (5)
A2208           247.424    58.531   1.8  1386     0.20    3.7     0.23   0.04 	 4.7   0.1329  	  3.3  	 2.49  	 (5)
RXJ1652.6+4011  253.166    40.193   1.7   596     0.18    3.8     0.22   0.05 	 5.0   0.1481  	  3.1  	 2.85  	 (7)
A2245           255.633    33.513   2.2   767     0.17    4.8     0.20   0.04 	 3.2   0.0843  	  3.0  	 0.92  	(17)
RXJ1714.3+4340  258.590    43.677   2.1  1067     0.22    5.1     0.27   0.05 	 1.5   0.0276  	  3.8  	 0.13  	(14)
RXJ1715.2+0309  258.801     3.161   6.3   508     0.18    2.6     0.20   0.05 	 5.1   0.1317  	  4.0  	 2.96  	(12)
Z8182           259.043    20.357   5.2   630     0.16    4.6     0.19   0.05 	 4.8   0.1306  	  3.6  	 2.63  	 (7)
Z8193           259.329    42.444   2.2   939     0.19    3.2     0.20   0.04 	 5.7   0.1754  	  3.0  	 3.96  	 (1)
A2271           259.621    78.029   4.0  1826     0.20    5.8     0.24   0.03 	 2.7   0.0584  	  4.3  	 0.63  	(10)
Z8284           266.796    45.216   2.9  1249     0.20    5.2     0.24   0.04 	 5.8   0.1555  	  3.9  	 4.01  	 (7)
RXJ1836.5+6344  279.127    63.748   4.9  4341     0.13    4.1     0.14   0.02 	 3.1   0.0834  	  2.8  	 0.84  	 (7)
RXJ1844.1+4533  281.033    45.554   5.6  1137     0.16    4.5     0.19   0.04 	 3.7   0.0910  	  3.8  	 1.36  	(12)
RXJ1852.1+5711  283.034    57.186   5.3  1417     0.15    4.2     0.18   0.03 	 4.1   0.1084  	  3.4  	 1.72  	 (7)
A2315           285.194    69.975   6.5  2398     0.17    5.0     0.22   0.03 	 4.0   0.0936  	  4.4  	 1.64  	(29)
Z8484           316.221    14.030   7.1   504     0.12    3.8     0.14   0.05 	 6.4   0.2029  	  2.9  	 5.08  	(12)
A2396           328.924    12.529   6.0   313     0.17    4.6     0.20   0.07 	 6.9   0.1924  	  4.0  	 6.28  	(15)
A2445           336.728    25.849   5.0   519     0.16    4.6     0.18   0.05 	 5.8   0.1660  	  3.4  	 4.00  	 (7)
RXJ2228.6+2037  337.154    20.623   4.4   479     0.18    6.0     0.21   0.06 	13.4   0.4177  	  3.9  	27.56  	 (7)
RXJ2250.0+1137  342.523    11.617   4.8   419     0.15    7.2     0.20   0.06 	 1.4   0.0255  	  3.5  	 0.10  	(25)
A2507           344.238     5.547   5.4   382     0.12    5.0     0.14   0.05 	 5.4   0.1696  	  2.8  	 3.44  	 (7)
A2552           347.898     3.646   4.9   383     0.18    4.3     0.21   0.06 	10.2   0.3017  	  4.1  	15.33  	 (7)
A2561           348.499    14.744   4.9   457     0.14    4.3     0.15   0.05 	 5.3   0.1627  	  2.9  	 3.24  	 (7)
A2588           350.907     9.154   4.6   446     0.14    4.2     0.15   0.05 	 6.1   0.1937  	  2.9  	 4.58  	 (7)
A2625           354.034    20.623   4.1   491     0.18    6.7     0.23   0.06 	 2.8   0.0601  	  4.1  	 0.64  	 (6)
A2631           354.417     0.276   4.1   383     0.21    4.7     0.23   0.06 	 9.6   0.2780  	  4.1  	13.26  	 (5)
A2678           358.925    11.647   4.8   438     0.15    6.0     0.19   0.06 	 3.0   0.0729  	  3.5  	 0.80  	(13)
