name             R.A.(J2000) Dec  nH20  t_exp  cr_VTP  r_VTP  cr_final cr_err   kT     z     fx(-12)  lx(44)  z_ref
Z2089           135.158    20.916   3.3   363     0.24    4.5     0.27   0.07 	 8.8e  0.2347  	  4.7  	10.82  	(17)
A750            137.299    10.989   3.6   379     0.40    6.6     0.47   0.10 	 8.1e  0.1630  	  8.3  	 9.30  	(15)
A763            138.124    15.943   3.5   400     0.39    5.5     0.44   0.09 	 4.6e  0.0851  	  7.6  	 2.34  	(19)
A757            138.357    47.687   1.6   437     0.47    6.9     0.58   0.10 	 3.1e  0.0514  	  7.9  	 0.90  	(22)
A773            139.475    51.716   1.5   502     0.45    6.3     0.48   0.08 	 9.4e  0.2170  	  6.7  	13.08  	(19)
A781            140.120    30.519   1.9   373     0.25    6.6     0.32   0.08 	10.8e  0.2984  	  4.7  	17.22  	(17)
A795            141.024    14.168   3.5   411     0.39    5.6     0.42   0.09 	 6.6e  0.1357  	  7.3  	 5.66  	(37)
Z2701           148.198    51.891   0.9   551     0.41    4.6     0.46   0.08 	 8.7e  0.2140  	  5.6  	10.68  	(10)
Z2844           150.657    32.688   1.6   466     0.32    5.9     0.40   0.08 	 2.6e  0.0500  	  5.3  	 0.57  	(21)
A961            154.085    33.641   1.5   472     0.29    5.5     0.35   0.08 	 5.2e  0.1241  	  4.8  	 3.14  	(43)
A963            154.255    39.029   1.4   490     0.37    4.7     0.43   0.08 	 8.6e  0.2060  	  5.9  	10.41  	(42)
A980            155.617    50.121   1.0   551     0.50    5.5     0.55   0.09 	 7.4e  0.1582  	  7.0  	 7.35  	(25)
A990            155.912    49.145   1.0   542     0.63    6.0     0.70   0.10 	 7.5e  0.1440  	  8.8  	 7.73  	(10)
Z3146           155.915     4.190   2.7   445     0.46    4.4     0.47   0.08 	12.8e  0.2906  	  7.7  	26.47  	 (2)
Z3179           156.484    12.691   3.6   468     0.28    4.6     0.31   0.07 	 6.2e  0.1434  	  5.5  	 4.78  	 (2)
A1033           157.932    35.058   1.6   473     0.50    5.2     0.55   0.09 	 6.3e  0.1259  	  7.6  	 5.13  	 (2)
A1068           160.187    39.951   1.5   406     0.63    5.0     0.69   0.11 	 7.5e  0.1386  	  9.4  	 7.65  	 (2)
RXJ1053.7+5450  163.449    54.850   0.8   603     0.35    5.8     0.43   0.08 	 3.3e  0.0704  	  4.9  	 1.04  	(17)
A1132           164.616    56.782   0.6   602     0.69    6.9     0.77   0.10 	 7.1e  0.1363  	  8.8  	 6.89  	(37)
A1177           167.363    21.728   1.2   327     0.33    7.0     0.42   0.10 	 1.9e  0.0319  	  5.0  	 0.22  	(19)
A1185           167.695    28.706   1.7   263     0.35    7.0     0.46   0.12 	 3.9   0.0314  	  6.4  	 0.27  	(20)
A1190           167.869    40.830   1.6   361     0.32    6.1     0.40   0.09 	 3.8e  0.0794  	  5.4  	 1.47  	(38)
A1201           168.225    13.450   1.7   424     0.32    4.9     0.36   0.08 	 6.9e  0.1688  	  5.2  	 6.28  	(22)
A1204           168.337    17.596   1.4   351     0.39    4.2     0.43   0.09 	 7.3e  0.1706  	  5.9  	 7.26  	 (2)
A1235           170.804    19.616   1.6   434     0.32    5.8     0.38   0.08 	 4.7e  0.1042  	  5.2  	 2.42  	(42)
A1246           170.977    21.488   1.4   434     0.33    5.1     0.37   0.08 	 7.5e  0.1904  	  5.0  	 7.62  	 (2)
A1302           173.307    66.399   1.1   679     0.38    5.1     0.42   0.07 	 5.1e  0.1160  	  5.3  	 3.05  	(19)
A1314           173.748    49.090   1.6   428     0.29    6.1     0.40   0.09 	 5.0   0.0338  	  5.6  	 0.27  	(47)
A1361           175.917    46.374   2.0   353     0.37    4.5     0.41   0.09 	 5.5e  0.1167  	  6.2  	 3.59  	 (2)
A1367           176.152    19.759   2.3   454     4.63   11.4     5.36   0.32 	 3.5   0.0214  	 81.4  	 1.60  	(47)
A1366           176.202    67.413   1.4   714     0.44    5.5     0.50   0.07 	 5.6e  0.1159  	  6.8  	 3.87  	(19)
A1413           178.826    23.408   2.0   468     0.92    7.8     1.03   0.13 	 8.9   0.1427  	 15.5  	13.28  	(42)
A1423           179.342    33.632   1.6   488     0.31    5.2     0.37   0.08 	 8.5e  0.2130  	  5.3  	10.03  	(10)
A1437           180.104     3.349   1.8   406     0.58    6.8     0.68   0.12 	 7.4e  0.1339  	 10.0  	 7.55  	(22)
Z4803           181.114     1.903   1.9   397     1.10    9.1     1.29   0.16 	 1.7   0.0200  	 17.7  	 0.30  	 (4)
RXJ1205.1+3920  181.299    39.342   2.0   432     0.42    4.9     0.46   0.09 	 2.3e  0.0370  	  6.5  	 0.38  	(10)
MKW_4s          181.647    28.180   1.7   488     0.35    6.2     0.46   0.09 	 1.8e  0.0283  	  6.0  	 0.21  	 (4)
Z4905           182.571     5.392   1.5   437     0.29    4.8     0.35   0.08 	 3.5e  0.0770  	  4.7  	 1.20  	(11)
Z5029           184.422     3.659   1.7   404     1.39    8.1     1.54   0.17 	 6.3e  0.0750  	 22.0  	 5.28  	(14)
RXJ1223.0+1037  185.774    10.620   2.0   444     0.48    4.6     0.49   0.09 	 1.8e  0.0257  	  6.8  	 0.19  	 (5)
Virgo           187.697    12.337   2.4   443    40.76    7.5   121.00   2.58 	 2.4   0.0036  1821.1  	 1.00  	(36)
A1553           187.700    10.556   2.1   445     0.37    4.7     0.42   0.08 	 7.4e  0.1652  	  6.3  	 7.30  	(37)
Z5247           188.572     9.770   1.7   440     0.26    4.8     0.32   0.08 	 8.5e  0.2290  	  4.6  	10.12  	 (1)
A1589           190.325    18.551   1.9   462     0.62    7.4     0.74   0.11 	 4.6e  0.0718  	 10.8  	 2.39  	(15)
A1656           194.883    27.903   0.9   506    23.50   16.4    25.87   0.67 	 8.0   0.0231  	319.2  	 7.26  	(20)
A1668           195.937    19.277   2.2   601     0.53    6.4     0.62   0.09 	 3.9e  0.0634  	  9.3  	 1.61  	(31)
A1677           196.471    30.886   1.1   525     0.31    5.0     0.35   0.07 	 6.9e  0.1832  	  4.4  	 6.24  	(37)
A1682           196.739    46.545   1.1   545     0.34    5.3     0.41   0.08 	 8.9e  0.2260  	  5.3  	11.26  	 (2)
RXJ1320.1+3308  200.035    33.143   1.0   548     0.34    5.8     0.40   0.08 	 2.0e  0.0362  	  4.6  	 0.26  	(34)
RXJ1326.3+0013  201.575     0.226   1.8   305     0.35    4.8     0.41   0.10 	 4.0e  0.0820  	  5.9  	 1.69  	(11)
A1758b          203.126    50.409   1.1   590     0.15    3.8     0.17   0.05 	 7.5e  0.2800  	  2.2  	 7.25  	(37)
A1758a          203.189    50.548   1.1   591     0.25    4.5     0.28   0.06 	 9.1e  0.2800  	  3.6  	11.68  	(37)
A1763           203.818    40.996   0.9   628     0.49    5.1     0.56   0.08 	10.0e  0.2279  	  6.9  	14.93  	(22)
A1767           204.032    59.211   1.6   748     0.74    7.1     0.86   0.10 	 4.1   0.0701  	 11.7  	 2.47  	(47)
A1775           205.460    26.382   1.0   383     0.92    7.0     1.05   0.15 	 4.9   0.0724  	 13.0  	 2.91  	(20)
A1773           205.528     2.233   1.8   267     0.32    4.7     0.42   0.11 	 3.9e  0.0776  	  5.9  	 1.53  	(20)
A1795           207.218    26.598   1.2   429     5.05   10.5     5.34   0.31 	 5.1   0.0622  	 68.1  	11.27  	(20)
A1800           207.365    28.106   1.2   441     0.84    8.2     1.00   0.14 	 5.1e  0.0748  	 12.8  	 3.05  	(20)
A1809           208.275     5.158   2.0   407     0.35    5.8     0.41   0.09 	 3.9e  0.0790  	  6.0  	 1.61  	(20)
A1831           209.802    27.978   1.3   473     0.78    7.1     0.91   0.12 	 4.2e  0.0612  	 11.9  	 1.90  	(20)
A1835           210.260     2.882   2.2   407     0.87    6.7     0.95   0.13 	14.8e  0.2528  	 14.7  	38.53  	 (2)
A1885           213.432    43.661   1.2   752     0.51    5.4     0.56   0.07 	 4.6e  0.0890  	  7.1  	 2.40  	(10)
